names,genre,date_x,score
The Girl from the Other Side,Animation| Drama| Mystery| Fantasy,2022,"6,8"
Enola Holmes 2,Mystery| Adventure| Comedy| Crime,2022,"7,6"
Ant-Man,Science Fiction| Action| Adventure,2015,"7,1"
Scream,Crime| Horror| Mystery,1997,"7,4"
Scream,Crime| Horror| Mystery,1997,"7,4"
Frozen II,Family| Animation| Adventure| Comedy| Fantasy,2019,"7,3"
Shrek the Third,Fantasy| Adventure| Animation| Comedy| Family,2007,"6,3"
Ratatouille,Animation| Comedy| Family| Fantasy,2007,"7,8"
Maneater,Mystery| Thriller| Horror,2022,"4,9"
Raya and the Last Dragon,Animation| Family| Fantasy| Action| Adventure,2021,"7,9"
Slumberland,Family| Fantasy,2022,"7,5"
PAW Patrol: The Movie,Animation| Family| Adventure| Comedy,2021,"7,5"
Deadpool,Action| Adventure| Comedy,2016,"7,6"
The Good Dinosaur,Adventure| Animation| Family,2016,"6,8"
Last Seen Alive,Action| Thriller,2022,"6,6"
We Have a Ghost,Comedy| Fantasy| Family| Adventure,2023,"6,6"
Paul; Apostle of Christ,Drama| History,2018,"7,5"
Real Steel,Action| Science Fiction| Drama,2011,7
The Matrix Resurrections,Science Fiction| Action| Adventure,2021,"6,5"
Lou,Action| Thriller,2022,"6,7"
Pinocchio,Fantasy| Adventure| Family,2022,"6,5"
Pinocchio,Fantasy| Adventure| Family,2022,"6,5"
Pinocchio,Fantasy| Adventure| Family,2022,"6,5"
Miraculous World: Shanghai – The Legend of Ladydragon,Animation| Fantasy| Action| TV Movie,2021,"7,9"
The Tomorrow War,Action| Science Fiction| Adventure,2021,"7,9"
Cars,Animation| Adventure| Comedy| Family,2006,"6,9"
Grimcutty,Horror,2022,"5,4"
Scrooge: A Christmas Carol,Animation| Family| Fantasy,2022,"6,8"
Your Place or Mine,Romance| Comedy,2023,"6,4"
Your Name.,Romance| Animation| Drama,2016,"8,5"
Puss in Boots,Comedy| Fantasy| Animation| Romance| Adventure| Family,2011,"6,5"
One Piece Film Red,Animation| Adventure| Action| Fantasy,2022,"7,5"
The Fate of the Furious,Action| Crime| Thriller,2017,"6,9"
The Strays,Thriller| Mystery| Drama| Horror,2023,"5,5"
Watcher,Mystery| Thriller| Horror,2022,"6,6"
The Gray Man,Action| Thriller,2022,7
The Mummy Resurrection,Horror,2023,5
The Fallout,Drama,2021,"7,7"
Guardians of the Galaxy Volume 3,Science Fiction| Adventure| Comedy,2023,0
Boyka: Undisputed IV,Action| Drama,2016,"7,1"
The Godfather,Drama| Crime,1972,"8,7"
Mulan,Animation| Family| Adventure,1998,"7,9"
Mulan,Animation| Family| Adventure,1998,"7,9"
Dracula: The Original Living Vampire,Horror| Fantasy| Thriller,2022,"5,4"
Big Hero 6,Adventure| Family| Animation| Action| Comedy,2014,"7,7"
Triangle of Sadness,Comedy| Drama,2022,"7,2"
Dungeons & Dragons,Drama| Adventure| Fantasy,2001,"4,3"
Wire Room,Action| Crime| Thriller,2022,"6,6"
Killing Jesus,Drama| History| TV Movie,2015,"6,5"
Inside Out,Animation| Family| Adventure| Drama| Comedy,2015,"7,9"
The Miracle of Marcelino,Drama| Comedy,1955,"7,1"
Fury,War| Drama| Action,2014,"7,5"
Welcome to the Club,Animation| Comedy,2022,"6,6"
Emancipation,Drama,2022,8
Undisputed III: Redemption,Action| Thriller,2010,"7,6"
The Last Warrior: Root of Evil,Fantasy| Adventure| Comedy,2021,"6,9"
After We Fell,Romance| Drama,2021,"7,1"
